"","date","ccg_id","name","items","cost","list_size","covid_period"
"159","2018-09-01","Y62","NORTH WEST COMMISSIONING REGION","98897","728692.21","7454933","pre-covid year 2"
"160","2018-09-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","126305","891664.95","8952214","pre-covid year 2"
"161","2018-09-01","Y58","SOUTH WEST COMMISSIONING REGION","83429","610087.41","5785496","pre-covid year 2"
"162","2018-10-01","Y56","LONDON COMMISSIONING REGION","75376","680030.7","9950977","pre-covid year 2"
"163","2018-10-01","Y59","SOUTH EAST COMMISSIONING REGION","118478","976653.89","9287478","pre-covid year 2"
"164","2018-10-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","99090","760740.66","6851229","pre-covid year 2"
"165","2018-10-01","Y60","MIDLANDS COMMISSIONING REGION","160463","1163610.57","11077034","pre-covid year 2"
"166","2018-10-01","Y62","NORTH WEST COMMISSIONING REGION","116642","830886.85","7470061","pre-covid year 2"
"167","2018-10-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","143817","990084.88","8974640","pre-covid year 2"
"168","2018-10-01","Y58","SOUTH WEST COMMISSIONING REGION","95647","651924.24","5797346","pre-covid year 2"
"169","2018-11-01","Y56","LONDON COMMISSIONING REGION","74366","620193.68","9975083","pre-covid year 2"
"170","2018-11-01","Y59","SOUTH EAST COMMISSIONING REGION","117526","893961.24","9298771","pre-covid year 2"
"171","2018-11-01","Y60","MIDLANDS COMMISSIONING REGION","157577","1078325.41","11094511","pre-covid year 2"
"172","2018-11-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","98827","713094.23","6860513","pre-covid year 2"
"173","2018-11-01","Y62","NORTH WEST COMMISSIONING REGION","113705","765097.2","7481327","pre-covid year 2"
"174","2018-11-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","141358","933682.84","8986731","pre-covid year 2"
"175","2018-11-01","Y58","SOUTH WEST COMMISSIONING REGION","94549","619136.52","5805507","pre-covid year 2"
"176","2018-12-01","Y56","LONDON COMMISSIONING REGION","75644","634695.83","9997323","pre-covid year 2"
"177","2018-12-01","Y59","SOUTH EAST COMMISSIONING REGION","123920","921218.34","9309098","pre-covid year 2"
"178","2018-12-01","Y60","MIDLANDS COMMISSIONING REGION","165167","1094193.82","11103879","pre-covid year 2"
